     购买时间:Tue Sep  7 19:40:53 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:2 总金额:15.200000
     购买时间:Wed Sep  8 09:56:42 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Wed Sep  8 14:10:09 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:2 总金额:15.200000
     购买时间:Wed Sep  8 14:15:15 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
序号:2 商品名字:棒棒糖 单价:1.500000 数量:3 总金额:4.500000
     购买时间:Wed Sep  8 14:19:43 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Wed Sep  8 15:34:00 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:2 总金额:15.200000
序号:2 商品名字:棒棒糖 单价:1.500000 数量:2 总金额:3.000000
     购买时间:Wed Sep  8 15:38:42 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:3 总金额:22.799999
序号:2 商品名字:牛 单价:6.000000 数量:6 总金额:36.000000
     购买时间:Wed Sep  8 16:37:54 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:5 总金额:38.000000
     购买时间:Wed Sep  8 16:38:49 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Wed Sep  8 16:42:42 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 14:20:39 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
序号:2 商品名字:棒棒糖 单价:1.500000 数量:1 总金额:1.500000
     购买时间:Thu Sep  9 14:21:53 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 14:23:29 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 15:33:15 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:5 总金额:38.000000
序号:2 商品名字:棒棒糖 单价:1.500000 数量:2 总金额:3.000000
     购买时间:Thu Sep  9 15:34:16 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:6 总金额:45.599998
     购买时间:Thu Sep  9 16:07:59 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:5 总金额:38.000000
     购买时间:Thu Sep  9 16:10:12 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:2 总金额:15.200000
     购买时间:Thu Sep  9 16:11:12 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 16:20:35 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:2 总金额:15.200000
序号:2 商品名字:奶茶 单价:7.600000 数量:3 总金额:22.799999
     购买时间:Thu Sep  9 16:24:46 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 16:28:01 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
     购买时间:Thu Sep  9 16:46:58 2021
序号:1 商品名字:奶茶 单价:7.600000 数量:1 总金额:7.600000
